Exam Set;With AI;Participant;Task 1;Task 2;Task 3;Task 4;Task 5;Task 6;Task 7;Task 8;Task 9;In what subject was your bachelor?;How many years of developer experience do you have?;How many years of experience do you have with Java?;How many months is it since you coded in Java?;How many years of experience do you have with Visual Studio Code?;How much experience in years do you have in using an LLM(ChatGPT, CoPilot, Gemini)?;Lazy Programmer;Which operating system do you usually use;Task 1 points;Task 2 points;Task 3 points;Task 4 points;Task 5 points;Task 6 points;Task 7 points;Task 8 points;Task 9 points;Total Points;Unit Test;Grade;sumif formula;Sum lzy;Lazy avg;Not lazy avg;Sum not lazy
Exam set 2;Yes;1;107 1;91 1;69 1;114 1;146 0;58 0;96 1;N/A;N/A;Business Economics & Information System ;4;1.5;0;2;2;Yes;MacOS;20;10;15;20;15;15;25;N/A;N/A;120;100;12;0;30;5,266666667;5,714285714;14
Exam set 1;No;1;122;157;76;131;235;42;224;421;4;;;;;;;Yes;;15;10;5;15;15;10;13;13;0;96;90;10;;;;;
Exam set 2;Yes;2;149 0;138 0;199 1;404 2;107 0;330 0;338 0;N/A;N/A;International sales and marketing;2;0.5;0;2;0.5;No;Windows;17;5;15;18;15;15;25;N/A;N/A;110;94;12;;;;;
Exam set 1;No;2;126;96;58;207;125;40;277;506;163;;;;;;;No;;14;9;5;15;15;10;14;20;15;117;90;12;;;;;
Exam set 2;Yes;3;106 1;72 1;98 1;114 1;94 0;54 0;N/A;N/A;N/A;Innovation and Entrepreneurship ;1;1;0;1;1;Yes;MacOS;20;10;15;17;15;15;25;N/A;N/A;117;100;12;;;;;
Exam set 1;No;3;259;273;321;185;149;92;327;N/A;N/A;;;;;;;Yes;;14;10;5;15;15;10;15;18;13;115;90;12;;;;;
Exam set 2;Yes;4;108 1;79 1;79 1;194 1;129 0;106 0;746 4;N/A;N/A;Visual Design (Game and Interaction Design);4;2;2;2;0;Yes;Windows;20;10;15;10;15;14;25;N/A;N/A;109;100;12;;;;;
Exam set 1;No;4;146;12;26;87;69;29;241;250;287;;;;;;;Yes;;15;10;5;5;15;10;15;18;15;108;100;12;;;;;
Exam set 2;Yes;5;113 1;111 0;124 0;345 0;142 0;105 0;269 0;N/A;N/A;Communication & IT;2;2;3;2;1;Yes;MacOS;18;10;15;18;13;10;15;N/A;N/A;99;94;10;;;;;
Exam set 1;No;5;94;71;64;96;138;47;197;238;161;;;;;;;Yes;;15;10;5;15;15;10;15;17;12;114;100;12;;;;;
Exam set 2;Yes;6;106 1;20 1;13 1;29 1;227 0;47 0;316 1;N/A;N/A;Physiotherapy;2;1.5;3;2;1.5;Yes;MacOS;20;10;15;0;15;15;25;N/A;N/A;100;85;10;;;;;
Exam set 1;No;6;169;56;69;302;147;47;481;412;31;;;;;;;Yes;;15;10;5;5;15;10;15;20;0;95;75;10;;;;;
Exam set 2;Yes;7;136 1;77 1;94 1;159 1;113 0;53 0;99 1;N/A;N/A;Global Business Informatics;2;2;9;2;1;Yes;Windows;17;10;10;5;15;15;25;N/A;N/A;97;75;10;;;;;
Exam set 1;No;7;177;156;43;162;138;54;323;547;82;;;;;;;Yes;;14;10;5;15;15;0;5;5;0;69;63;4;;;;;
Exam set 2;Yes;8;224 3;245 2;311 2;393 3;189 0;105 0;587 3;N/A;N/A;Literaturvidenskab;2;1;12;2.5;1.5;No;MacOS;20;10;15;20;15;15;25;N/A;N/A;120;100;12;;;;;
Exam set 1;No;8;210;17;88;176;121;287;323;347;136;;;;;;;No;;14;10;5;15;15;10;15;19;13;116;100;12;;;;;
Exam set 2;Yes;9;102 1;94 1;51 1;104 1;111 0;67 0;79 1;N/A;N/A;Global Business Informatics;2;0.5;13;2;1;Yes;MacOS;20;10;15;20;15;15;25;N/A;N/A;120;80;12;;;;;
Exam set 1;No;9;140;251;41;168;119;71;214;433;N/A;;;;;;;Yes;;15;0;5;15;15;10;5;10;0;75;60;7;;;;;
Exam set 2;Yes;10;195 1;249 1;239 1;191 1;375 0;139 0;137 1;N/A;N/A;Economy;1.5;1.5;8;1.5;0,5;Yes;MacOS;20;10;15;18;14;15;25;N/A;N/A;117;98;12;;;;;
Exam set 1;No;10;250;162;102;410;128;89;285;276;91;;;;;;;Yes;;15;10;5;15;7;10;14;0;0;76;68;7;;;;;
Exam set 2;Yes;11;110 1;160 1;339 1;131 2;122 0;129 0;197 1;N/A;N/A;Modern India and South Asia Studies;1.5;1.5;8;1.5;0,5;No;Windows;20;10;15;20;15;0;25;N/A;N/A;105;88;10;;;;;
Exam set 1;No;11;137;112;78;224;146;63;231;234;143;;;;;;;No;;15;10;5;15;10;10;14;0;0;79;70;7;;;;;
Exam set 2;Yes;12;118 1;72 0;127 1;90 1;98 0;68 0;61 1;N/A;N/A;Digital Design and Interactive Technologies;1.5;2;2;6;1,5;Yes;Windows;20;10;10;18;15;15;25;N/A;N/A;113;94;12;;;;;
Exam set 1;No;12;116;130;20;196;270;56;592;380;N/A;;;;;;;Yes;;15;10;5;15;5;10;2;0;0;62;56;4;;;;;
Exam set 2;No;13;277;81;166;329;170;121;223;N/A;N/A;Sound Design;2;1.5;1;3;1;No;MacOS;20;10;10;0;15;15;25;N/A;N/A;95;79;10;;;;;
Exam set 1;Yes;13;285 1;69 1;29 1;96 1;111 0;83 0;204 1;315 1;169 1;;;;;;;No;;15;10;5;15;15;10;15;17;15;117;106;12;;;;;
Exam set 2;No;14;133;282;309;369;206;102;266;N/A;N/A;Bachelor of education;0;1;7;1.5;1;Yes;Windows;15;10;10;5;10;10;0;N/A;N/A;60;50;4;;;;;
Exam set 1;Yes;14;69 0;28 0;51 0;215 1;591 1;59 0;109 0;134 1;379 3;;;;;;;Yes;;15;10;5;15;15;10;15;18;15;118;107;12;;;;;
Exam set 2;No;15;188;134;314;276;219;143;351;N/A;N/A;Energy Engineering;2;1;12;2;1;No;Linux;20;10;13;2;10;15;5;N/A;N/A;75;63;7;;;;;
Exam set 1;Yes;15;128 1;11 1;80 1;59 1;108 3;64 1;132 0;182 1;395 3;;;;;;;No;;15;10;5;15;15;10;15;20;13;118;107;12;;;;;
Exam set 2;No;16;149;96;194;250;145;117;267;N/A;N/A;Business economics & IT;3;1.5;0;3;1;No;MacOS;20;10;10;2;15;15;5;N/A;N/A;77;64;7;;;;;
Exam set 1;Yes;16;118 1;67 0;19 0;105 0;152 0;42 0;153 0;596 1;138 0;;;;;;;No;;14;10;5;15;15;10;15;15;0;99;91;10;;;;;
Exam set 2;No;17;205;225;195;147;154;272;259;N/A;N/A;Business;2;2;3;2;1;Yes;Windows;20;10;10;0;15;15;20;N/A;N/A;90;75;10;;;;;
Exam set 1;Yes;17;101 1;43 1;32 1;113 1;230 1;38 1;239 1;287 1;211 1;;;;;;;Yes;;15;10;5;15;13;10;15;17;14;114;103;12;;;;;
Exam set 2;No;18;118;85;154;608;113;113;166;N/A;N/A;Gastronomy (Food Science and Agriculture);1.5;1.5;0;1.5;1;Yes;MacOS;20;10;15;20;14;15;25;N/A;N/A;119;99;12;;;;;
Exam set 1;Yes;18;135 1;51 1;23 1;81 1;326 1;43 0;211 1;331 1;145 0;;;;;;;Yes;;15;10;5;15;15;10;15;20;15;120;108;12;;;;;
Exam set 2;No;19;146;385;240;423;234;140;57;N/A;N/A;International Business in Asia;1;1;6;1.5;1;No;MacOS;10;5;5;0;10;5;0;N/A;N/A;35;29;00;;;;;
Exam set 1;Yes;19;46 0;45 0;25 0;131 1;74 1;26 1;303 1;391 3;213 2;;;;;;;No;;15;10;5;15;15;10;15;15;13;113;103;12;;;;;
Exam set 2;No;20;109;116;254;435;158;126;N/A;N/A;N/A;IT & Communication;2;2;0;3;1;Yes;MacOS;20;10;15;15;15;15;10;N/A;N/A;100;83;10;;;;;
Exam set 1;Yes;20;125 1;40 1;35 1;65 1;140 1;22 1;225 1;88 1;459 1;;;;;;;Yes;;15;10;5;15;13;10;15;17;0;100;92;10;;;;;
Exam set 2;No;21;90;356;259;412;176;139;230;N/A;N/A;Radiograph;1.5;1.5;6;1.5;1;Yes;MacOS;10;5;10;2;14;15;5;N/A;N/A;61;51;4;;;;;
Exam set 1;Yes;21;176 1;13 1;35 1;61 1;94 1;36 1;194 1;263 1;325 1;;;;;;;Yes;;15;10;5;15;14;10;13;15;13;110;100;12;;;;;
Exam set 2;No;22;206;76;181;345;189;143;257;N/A;N/A;Software Design;4;3;12;3;1;Yes;MacOS;5;2;2;1;2;2;0;N/A;N/A;14;12;-3;;;;;
Exam set 1;Yes;22;68 1;32 1;21 1;21 1;27 1;14 1;170 1;47 1;300 1;;;;;;;Yes;;15;10;4;0;15;10;15;18;15;102;89;10;;;;;
Exam set 2;No;23;177;290;201;389;193;112;274;N/A;N/A;Communication;1;1;6;1.5;1;Yes;Windows;15;15;10;10;10;15;20;N/A;N/A;95;12;10;;;;;
Exam set 1;Yes;23;131 1;39 1;29 1;76 1;87 1;31 1;176 1;191 1;231 1;;;;;;;Yes;;15;10;5;15;15;10;15;20;15;120;89;12;;;;;
Exam set 2;No;24;167;329;197;346;203;175;240;N/A;N/A;International Business;1;1;3;1.5;1;Yes;MacOS;20;10;15;10;15;10;5;N/A;N/A;85;12;7;;;;;
Exam set 1;Yes;24;103 1;87 1;43 1;112 1;147 1;42 1;290 1;153 1;200 1;;;;;;;Yes;;15;10;5;15;15;10;15;20;15;120;89;12;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;